ADM_CD,ADM_SECT_NM
41000000,경기도
41105000,경기도 북부출장소
41110000,경기도 수원시
41111000,경기도 수원시 장안구
41111600,경기도 수원시 장안구 연무동
41113000,경기도 수원시 권선구
41113700,경기도 수원시 권선구 입북동
41115000,경기도 수원시 팔달구
41115700,경기도 수원시 팔달구 지동
41117000,경기도 수원시 영통구
41117600,경기도 수원시 영통구 광교1동
41130000,경기도 성남시
41131000,경기도 성남시 수정구
41131600,경기도 성남시 수정구 산성동
41133000,경기도 성남시 중원구
41135000,경기도 성남시 분당구
41135600,경기도 성남시 분당구 이매1동
41150000,경기도 의정부시
41150600,경기도 의정부시 가능2동
41170000,경기도 안양시
41171000,경기도 안양시 만안구
41171600,경기도 안양시 만안구 석수2동
41173000,경기도 안양시 동안구
41173600,경기도 안양시 동안구 호계3동
41190000,경기도 부천시
41210000,경기도 광명시
41210600,경기도 광명시 철산2동
41220000,경기도 평택시
41220600,경기도 평택시 원평동
41222000,경기도 평택시 송탄출장소
41224000,경기도 평택시 안중출장소
41250000,경기도 동두천시
41250600,경기도 동두천시 상패동
41270000,경기도 안산시
41271000,경기도 안산시 상록구
41271600,경기도 안산시 상록구 반월동
41273000,경기도 안산시 단원구
41273600,경기도 안산시 단원구 선부3동
41280000,경기도 고양시
41281000,경기도 고양시 덕양구
41281600,경기도 고양시 덕양구 관산동
41285000,경기도 고양시 일산동구
41285600,경기도 고양시 일산동구 고봉동
41287000,경기도 고양시 일산서구
41290000,경기도 과천시
41310000,경기도 구리시
41360000,경기도 남양주시
41362000,경기도 남양주시 풍양출장소
41370000,경기도 오산시
41390000,경기도 시흥시
41410000,경기도 군포시
41410600,경기도 군포시 궁내동
41430000,경기도 의왕시
41450000,경기도 하남시
41450600,경기도 하남시 초이동
41460000,경기도 용인시
41461000,경기도 용인시 처인구
41463000,경기도 용인시 기흥구
41465000,경기도 용인시 수지구
41480000,경기도 파주시
41480400,경기도 파주시 진동면
41500000,경기도 이천시
41550000,경기도 안성시
41550400,경기도 안성시 죽산면
41570000,경기도 김포시
41590000,경기도 화성시
41590400,경기도 화성시 양감면
41590600,경기도 화성시 동탄6동
41592000,경기도 화성시 동부출장소
41610000,경기도 광주시
41630000,경기도 양주시
41650000,경기도 포천시
41650400,경기도 포천시 관인면
41670000,경기도 여주시
41800000,경기도 연천군
41820000,경기도 가평군
41830000,경기도 양평군
41830400,경기도 양평군 용문면
41192000,경기도 부천시 원미구
41194000,경기도 부천시 소사구
41196000,경기도 부천시 오정구
41480400,경기도 파주시 진동면 동파리
41480400,경기도 파주시 진동면 용산리
41480400,경기도 파주시 진동면 하포리
41480400,경기도 파주시 진동면 서곡리
41480400,경기도 파주시 진동면 초리
41550400,경기도 안성시 죽산면 죽산리
41550400,경기도 안성시 죽산면 매산리
41550400,경기도 안성시 죽산면 장원리
41550400,경기도 안성시 죽산면 두현리
41550400,경기도 안성시 죽산면 장능리
41550400,경기도 안성시 죽산면 장계리
41550400,경기도 안성시 죽산면 용설리
41550400,경기도 안성시 죽산면 칠장리
41550400,경기도 안성시 죽산면 당목리
41550400,경기도 안성시 죽산면 두교리
41590400,경기도 화성시 양감면 신왕리
41590400,경기도 화성시 양감면 사창리
41590400,경기도 화성시 양감면 정문리
41590400,경기도 화성시 양감면 송산리
41590400,경기도 화성시 양감면 용소리
41590400,경기도 화성시 양감면 요당리
41590400,경기도 화성시 양감면 대양리
41650400,경기도 포천시 관인면 중리
41650400,경기도 포천시 관인면 삼율리
41650400,경기도 포천시 관인면 초과리
41650400,경기도 포천시 관인면 탄동리
41650400,경기도 포천시 관인면 냉정리
41650400,경기도 포천시 관인면 사정리
41830400,경기도 양평군 용문면 마룡리
41830400,경기도 양평군 용문면 화전리
41830400,경기도 양평군 용문면 삼성리
41830400,경기도 양평군 용문면 다문리
41830400,경기도 양평군 용문면 연수리
41830400,경기도 양평군 용문면 금곡리
41830400,경기도 양평군 용문면 광탄리
41830400,경기도 양평군 용문면 망능리
41830400,경기도 양평군 용문면 중원리
41830400,경기도 양평군 용문면 조현리
41830400,경기도 양평군 용문면 덕촌리
41830400,경기도 양평군 용문면 오촌리
41830400,경기도 양평군 용문면 신점리
