지역,2024_1분기,2024_2분기,2024_3분기,2024_4분기
지역,,,,
지역,,,,
전국,120.73333333333333,122.16666666666667,124.13333333333333,123.66666666666667
수도권,123.76666666666667,125.96666666666665,128.36666666666667,127.46666666666665
지방,114.73333333333333,114.3,115.26666666666667,115.83333333333333
서울,126.86666666666667,129.79999999999998,132.5,131.20000000000002
서울,131.73333333333332,134.73333333333332,136.36666666666667,135.29999999999998
서울,126.2,129.63333333333333,132.29999999999998,131.63333333333333
서울,124.7,127.09999999999998,129.83333333333334,128.8
서울,129.9,133.70000000000002,135.79999999999998,132.36666666666665
서울,128.13333333333335,130.73333333333332,133.76666666666665,132.29999999999998
부산,103.06666666666668,103.89999999999999,105.33333333333333,105.36666666666667
대구,94.86666666666667,93.93333333333334,94.46666666666665,94.96666666666665
인천,115.33333333333333,117.3,121.03333333333335,119.96666666666665
광주,113.93333333333334,112.93333333333332,114.23333333333335,116.46666666666665
대전,134.63333333333335,133.29999999999998,133.63333333333335,134.79999999999998
울산,110.0,113.06666666666666,117.3,119.76666666666667
세종,142.76666666666665,140.33333333333334,140.16666666666666,141.70000000000002
경기,123.0,124.7,126.60000000000001,126.0
강원,118.56666666666666,116.73333333333333,118.2,117.13333333333333
충북,122.73333333333333,121.2,122.23333333333333,123.56666666666666
충남,116.23333333333335,117.36666666666667,117.89999999999999,118.46666666666665
전북,111.33333333333333,111.5,112.73333333333333,111.3
전남,113.26666666666667,113.66666666666667,113.40000000000002,113.16666666666667
경북,116.06666666666668,113.90000000000002,114.23333333333335,113.53333333333335
경남,122.76666666666667,121.66666666666667,122.06666666666668,123.53333333333335
제주,120.43333333333334,119.76666666666665,117.33333333333333,117.86666666666667
6대광역시,111.09999999999998,111.73333333333335,113.83333333333333,114.06666666666666
5대광역시,108.93333333333334,108.90000000000002,110.13333333333333,111.03333333333335
8개도,118.39999999999999,117.73333333333333,118.33333333333333,118.53333333333335
,,,,
,,,,
