ADM_SECT_GBN|ADM_CD|ADM_SECT_NM|LOWEST_ADM_SECT_NM|DEL_YMD|CHG_BEF_ADM_SECT_GBN|CRE_YMD|CHG_BEF_ADM_SECT_CD|COL_ADM_SECT_CD
A|4100000000|경기도|경기도|||19880423||26110
A|4110500000|경기도 북부출장소|북부출장소|||19880423||26110
A|4111000000|경기도 수원시|수원시|||19880423||26110
A|4111100000|경기도 수원시 장안구|수원시 장안구|||19880701||26110
A|4111156000|경기도 수원시 장안구 파장동|파장동|||19880701||26110
A|4111156600|경기도 수원시 장안구 율천동|율천동|||19900101||26110
A|4111157100|경기도 수원시 장안구 정자1동|정자1동|||19900101||26110
A|4111157200|경기도 수원시 장안구 정자2동|정자2동|||19900101||26110
A|4111157300|경기도 수원시 장안구 정자3동|정자3동|||20030210||26110
A|4111158000|경기도 수원시 장안구 영화동|영화동|||19880701||26110
A|4111159100|경기도 수원시 장안구 송죽동|송죽동|||19900520||26110
A|4111159700|경기도 수원시 장안구 조원1동|조원1동|||20030210||26110
A|4111159800|경기도 수원시 장안구 조원2동|조원2동|||20030210||26110
A|4111160000|경기도 수원시 장안구 연무동|연무동|||19880701||26110
A|4111300000|경기도 수원시 권선구|수원시 권선구|||19880701||26110
A|4111352000|경기도 수원시 권선구 세류1동|세류1동|||19880701||26110
A|4111353000|경기도 수원시 권선구 세류2동|세류2동|||19880701||26110
A|4111354000|경기도 수원시 권선구 세류3동|세류3동|||19880701||26110
A|4111355000|경기도 수원시 권선구 평동|평동|||19880701||26110
A|4111356000|경기도 수원시 권선구 서둔동|서둔동|||19880701||26110
A|4111365000|경기도 수원시 권선구 구운동|구운동||A|20031124|4111363000|26110
A|4111366000|경기도 수원시 권선구 금호동|금호동||A|20031124|4111363500|26110
A|4111367000|경기도 수원시 권선구 권선1동|권선1동||A|20031124|4111361600|26110
A|4111368000|경기도 수원시 권선구 권선2동|권선2동||A|20031124|4111361700|26110
A|4111369000|경기도 수원시 권선구 곡선동|곡선동||A|20031124|4111362000|26110
A|4111370000|경기도 수원시 권선구 입북동|입북동||A|20031124|4111364000|26110
A|4111500000|경기도 수원시 팔달구|수원시 팔달구|||19930115||26110
A|4111565000|경기도 수원시 팔달구 매교동|매교동||A|20031124|4111351000|26110
A|4111566000|경기도 수원시 팔달구 매산동|매산동||A|20031124|4111357000|26110
A|4111567000|경기도 수원시 팔달구 고등동|고등동||A|20031124|4111358000|26110
A|4111568000|경기도 수원시 팔달구 화서1동|화서1동||A|20031124|4111154000|26110
A|4111569000|경기도 수원시 팔달구 화서2동|화서2동||A|20031124|4111155000|26110
A|4111570000|경기도 수원시 팔달구 지동|지동||A|20031124|4111553000|26110
A|4111571000|경기도 수원시 팔달구 우만1동|우만1동||A|20031124|4111554100|26110
A|4111572000|경기도 수원시 팔달구 우만2동|우만2동||A|20031124|4111554200|26110
A|4111573000|경기도 수원시 팔달구 인계동|인계동||A|20031124|4111556000|26110
